Date,Pptn_us,PET_us,ET_us,Pptn_us_ds,PET_us_ds,ET_us_ds,Pptn_total,PET_total,ET_total,Q_us,Q_ds,ET_sim,SM_sim,GW_sim,Q_sim
2012-06-13,1.53383785704287,1.9883891,0.7296577,1.7801686133572,2.1118233,0.75523466,1.73766845901301,2.1118233,0.75523466,0,0,1.44572887157756,35.8358849776362,154.645876245301,0.492394329125421
2012-06-14,0.187044850257186,3.9030843,1.231304,0.351060936263577,3.7318587,1.1202106,0.322762768813446,3.7318587,1.1202106,0,0,1.05526316811248,35.1033845783371,154.180058942299,0.487151486488118
2012-06-15,0.033273034052947,3.7712662,2.0688257,1.87846586218418,3.7057245,2.1127534,1.56010943183077,3.7057245,2.1127534,0,0,1.43488264283351,35.1553056422734,153.76600218658,0.482480780259466
2012-06-16,7.09646557157256,2.5193577,1.9687569,4.59337592862347,2.4490037,1.776477,5.02524119100972,2.4490037,1.776477,0,0,1.43594393098333,38.369344397281,153.560616025269,0.505249829947966
2012-06-17,21.0794277491568,1.7089894,1.6496106,13.3128237427688,1.7322825,1.59708,14.6528182916189,1.7322825,1.59708,0,0,1.50164022041151,50.1979608974818,154.005860500787,0.604130289732798
2012-06-18,16.7958240172683,0.6875622,0.6875622,17.1803995880704,0.81090814,0.78124946,17.114047659413,0.81090814,0.78124946,0,0,0.81090814,64.4784345627085,154.926163808466,0.774622251950093
2012-06-19,33.2034134163495,0.6257715,0.5972087,32.8492989410175,0.76218593,0.69834596,32.9103953340778,0.76218593,0.69834596,0,0,0.76218593,91.5658458851142,157.910111788355,1.13482228357079
2012-06-20,22.8939176404537,1.2354165,1.1470548,19.7542485620067,1.3505243,1.1744453,20.2959447084521,1.3505243,1.1744453,0,0,1.3505243,106.206416632357,160.348670319832,1.50473997358275
2012-06-21,0.272024104253327,1.315479,1.2207296,1.21298331185778,1.2424624,1.1027701,1.05063691107639,1.2424624,1.1027701,0.040178470521037,0,1.2424624,105.930297156702,159.922511682825,1.36499365660316
2012-06-22,0.324009982611628,2.144591,1.7781013,0.680886007262272,1.904257,1.50796,0.619313159429251,1.904257,1.50796,0,0,1.904257,104.645353316131,159.44080033759,0.980877004957276
2012-06-23,0,3.994747,3.1499653,0.002231667591677,3.8559487,2.8718994,0.001846631557829,3.8559487,2.8718994,0.092116493389695,0,2.14084119348063,102.506358754208,158.960539981447,0.759890697386702
2012-06-24,0,3.8333735,2.7069788,0.029099484786892,3.658302,2.415058,0.024078866908524,3.658302,2.415058,0.080846922389892,0,2.11935149000703,100.41108613111,158.481726243793,0.635955133046051
2012-06-25,0.314740958152373,3.4166763,2.9382753,0.363823956987221,3.4242194,2.921266,0.355355525934759,3.4242194,2.921266,0.060267705781556,0,2.40779990483006,98.3586417522144,158.004354767189,0.566169107803534
2012-06-26,19.2578831600003,0.784267,0.7660618,19.9087341994848,1.1534601,1.0463183,19.7964409979347,1.1534601,1.0463183,0.097506288215688,0,1.1534601,112.512697696832,160.561651330502,0.848237191839489
2012-06-27,3.17137789885569,3.7600782,3.1386375,1.83694307028729,3.7144399,3.0302844,2.06717695298108,3.7144399,3.0302844,0.058307780390286,0,3.01716121092657,111.202343895671,160.320575381845,1.03326273188723
2012-06-28,0.253046643413948,3.8911376,3.1992333,0.593427470058267,3.6086094,2.812563,0.534700586214828,3.6086094,2.812563,0.058307780390286,0,2.80772276377238,108.929321718114,159.837665007167,0.816178961599876
