Date,Pptn_us,PET_us,ET_us,Pptn_us_ds,PET_us_ds,ET_us_ds,Pptn_total,PET_total,ET_total,live_St_us,Res_outflow,Q_ds,ET_us_sim,SM_us_sim,GW_us_sim,Ot_sim,St_us_sim,ET_us_ds_sim,SM_us_ds_sim,GW_us_ds_sim,Q_ds_sim
2010-11-13,0,1.3118377,0.4349172,0,1.378375,0.42886388,0,1.3602284,0.43051472,17.074,0,1.32444,0.702619190285566,18.6903989068553,0.000166473864408,0.180904266649363,17.3456200327325,0.593268692758651,15.7815623027619,1.04500185825605E-05,0.181662758934717
2010-11-14,0,1.2946411,0.46081266,0,1.3143895,0.42994514,0,1.3090035,0.43836358,17.046,0,1.3867,0.677162929476408,18.0132359773789,0.000124904066351,0.180513067677099,17.3300986832756,0.571774257676918,15.209788045085,7.84056896284523E-06,0.181167182116543
2010-11-15,0,1.1684512,0.25222123,0,1.2444792,0.34656215,0,1.2237443,0.32083282,17.034,0,1.40651,0.652628962312717,17.3606070150662,9.37145650245998E-05,0.18010951820342,17.3145934775156,0.551058577222089,14.6587294678629,5.88271888470355E-06,0.18071033113989
2010-11-16,0,1.3253835,0.23651947,0,1.3538727,0.2793656,0,1.3461028,0.2676803,17.007,0,1.40651,0.62898387361326,16.731623141453,7.03133208896533E-05,0.179706929397436,17.2991090077217,0.531093436706659,14.1276360311562,4.4137589555605E-06,0.180257523469788
2010-11-17,0,1.4098188,0.29289818,0,1.4308558,0.3419479,0,1.4251183,0.32857072,16.993,0,1.39236,0.606195458846299,16.1254276826067,5.27555465175939E-05,0.179305418326101,17.2836486885975,0.51185164367601,13.6157843874802,3.31160956347011E-06,0.179817976616027
2010-11-18,0,1.1869807,0.22954124,0,1.2273879,0.2513282,0,1.2163677,0.2453863,16.953,0,1.40085,0.584232680267128,15.5411950023395,3.9582082785391E-05,0.178905070948548,17.2682150514902,0.493306990872381,13.1224773966078,2.48467530993071E-06,0.179388736204306
2010-11-19,0,1.28412,0.22973077,0,1.3021363,0.2716849,0,1.2972227,0.26024288,16.938,0,1.40368,0.563065624644765,14.9781293776948,2.96981337707692E-05,0.178505949926469,17.25280996513,0.475434220540668,12.6470431760672,1.86423286847564E-06,0.178967583714889
2010-11-20,0,1.4344625,0.2183748,0,1.4522867,0.2743695,0,1.4474257,0.25909823,16.938,0,1.40651,0.54266546252024,14.4354639151745,2.22822824723116E-05,0.178108100476277,17.2374348012458,0.458208990027446,12.1888341860397,1.39871965323382E-06,0.17855285277661
2010-11-21,0,1.6103972,0.4345511,0,1.6091934,0.39115855,0,1.6095217,0.40299284,16.924,0,1.42632,0.523004408940955,13.9124595062336,1.67182260006038E-05,0.177711554753936,17.2220905588233,0.441607838626359,11.7472263474134,1.04944865066255E-06,0.178143291325765
2010-11-22,0,1.479441,0.31509274,0,1.5021404,0.32055348,0,1.4959496,0.31906417,16.924,0,1.47443,0.504055685617686,13.4084038206159,1.25435570146181E-05,0.177316335140335,17.2067779573322,0.425608155624714,11.3216181917887,7.87393290593409E-07,0.177737958178972
2010-11-23,0,1.2272342,0.35611722,0,1.0856073,0.324,0,1.1242328,0.33275923,16.911,0,1.51405,0.485793484452631,12.9226103361632,9.41133482543494E-06,0.176922456702834,17.1914975066732,0.410188149507768,10.9114300422809,5.90775159585081E-07,0.17733614542806
2010-11-24,0,1.4999841,0.3661829,0,1.5534624,0.3914574,0,1.5388774,0.3845644,16.924,0,1.4716,0.468192932388874,12.4544174037744,7.06125248948305E-06,0.176529929039552,17.176249559656,0.395326818278753,10.5161032240021,4.43254080714539E-07,0.176937320210095
2010-11-25,0,0.53197503,0.14902218,0,0.65197295,0.17859791,0,0.6192463,0.17053181,16.896,0,1.44613,0.451230057533362,12.003187346241,5.29800369927081E-06,0.176138757661146,17.1610343513721,0.381003920854234,10.1350993031479,3.32570144296658E-07,0.176541081015292
2010-11-26,0,0.9723768,0.4858277,0,1.0462793,0.4623428,0,1.0261241,0.46874782,16.855,0,1.42632,0.434881756507265,11.5683055897337,3.9750516270722E-06,0.175748945026059,17.1458520287351,0.367199949495816,9.76789935365208,2.49524833926412E-07,0.176147124903192
